#;Família (FB 2020);Espécie (FB 2020);Nome avaliação anterior;Categoria em 2014;Sugestão de Categoria 2021;EW;CR;EN,;VU;Mesma Categoria de Ameaça 2014;Aumentou a Categoria de Ameaça;Reduziu a Categoria de Ameaça;Entrou em Categoria de Ameaça;Saíram da Categoria de Ameaça;Saíram da Lista por serem sinonímias taxonômicas
1;Acanthaceae;Aphelandra espirito-santensis Profice & Wassh.;Aphelandra espirito-santensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;62 espécies;74 espécies
2;Acanthaceae;Aphelandra margaritae E.Morren;Aphelandra margaritae;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
3;Acanthaceae;Aphelandra maximiliana (Nees) Benth.;Aphelandra maximiliana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
4;Acanthaceae;Aphelandra rigida Glaz. ex Mildbr.;Aphelandra rigida;;Em Perigo (EN);;;X;;;;;X;;
5;Acanthaceae;Aphelandra stephanophysa Nees;Aphelandra stephanophysa;;Vulnerável (VU);;;;X;;;;X;;
6;Acanthaceae;Dyschoriste lavandulacea (Nees) Kuntze;Dyschoriste lavandulacea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
7;Acanthaceae;Dyschoriste smithii Leonard;Dyschoriste smithii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
8;Acanthaceae;Justicia clausseniana (Nees) Profice;Justicia clausseniana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
9;Acanthaceae;Justicia genuflexa Nees & Mart.;Justicia genuflexa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
10;Acanthaceae;Justicia meyeniana (Nees) Lindau;Justicia meyeniana;;Em Perigo (EN);;;X;;;;;X;;
11;Acanthaceae;Justicia nervata (Lindau) Profice;Justicia nervata;;Em Perigo (EN);;;X;;;;;X;;
12;Acanthaceae;Justicia polita (Nees) Profice;Justicia polita;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
13;Acanthaceae;Justicia ramulosa (Morong) C.Ezcurra;Justicia ramulosa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
14;Acanthaceae;Justicia tijucensis V.A.W.Graham;Justicia tijucensis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
15;Acanthaceae;Odontonema dissitiflorum (Nees) Kuntze;Odontonema dissitiflorum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
16;Acanthaceae;Pachystachys dubiosa (Lindau) A.L.A.Côrtes;Streblacanthus dubiosus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
17;Acanthaceae;Schaueria paranaensis (Rizz.) A.L.A. Côrtes;Justicia paranaensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
18;Acanthaceae;Staurogyne brachiata (Hiern) Leonard;Staurogyne brachiata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
19;Acanthaceae;Staurogyne elegans (Nees) Kuntze;Staurogyne elegans;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
20;Acanthaceae;Staurogyne euryphylla E.Hossain;Staurogyne euryphylla;;Em Perigo (EN);;;X;;;;;X;;
21;Acanthaceae;Staurogyne itatiaiae (Wawra) Leonard;Staurogyne itatiaiae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
22;Acanthaceae;Staurogyne vauthieriana (Nees) Kuntze;Staurogyne vauthieriana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
23;Acanthaceae;Staurogyne veronicifolia (Nees) Kuntze;Staurogyne veronicifolia;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
24;Acanthaceae;Staurogyne warmingiana (Hiern) Leonard;Staurogyne warmingiana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
